lower,upper,duration,action,depth,size,hit,miss
2449981, 2399981, 0.935469, 3, 26, 38399696, 50000, 0
2450001, 2500001, 0.9736, 0, 26, 39999504, 28678, 21322
2499969, 2449969, 0.970648, 3, 26, 39199504, 50000, 0
2500001, 2550001, 0.99395, 0, 26, 40799632, 26542, 23458
2549977, 2499977, 0.970901, 3, 26, 39999632, 50000, 0
2550001, 2600001, 1.01352, 0, 26, 41599488, 27025, 22975
2599968, 2549968, 0.998239, 3, 26, 40799488, 50000, 0
2600001, 2650001, 1.04566, 0, 27, 42399536, 29552, 20448
2649971, 2599971, 1.02465, 3, 27, 41599536, 50000, 0
2650001, 2700001, 1.06004, 0, 27, 43199568, 27873, 22127
2699973, 2649973, 1.04648, 3, 27, 42399568, 50000, 0
2700001, 2750001, 1.18811, 0, 27, 43999472, 31158, 18842
2749967, 2699967, 1.11996, 3, 27, 43199472, 50000, 0
2750001, 2800001, 1.12636, 0, 27, 44799600, 28144, 21856
2799975, 2749975, 1.09312, 3, 27, 43999600, 50000, 0
2800001, 2850001, 1.11865, 0, 27, 45599472, 28412, 21588
2849967, 2799967, 1.10338, 3, 27, 44799472, 50000, 0
2850001, 2900001, 1.14284, 0, 27, 46399536, 30401, 19599
2899971, 2849971, 1.13138, 3, 27, 45599536, 50000, 0
2900001, 2950001, 1.14908, 0, 27, 47199296, 29039, 20961
2949956, 2899956, 1.14321, 3, 27, 46399296, 50000, 0
2950001, 3000001, 1.1665, 0, 27, 47999408, 33753, 16247
2999963, 2949963, 1.16941, 3, 27, 47199408, 50000, 0
3000001, 3050001, 1.19259, 0, 27, 48799328, 30586, 19414
3049958, 2999958, 1.18017, 3, 27, 47999328, 50000, 0
3050001, 3100001, 1.20532, 0, 27, 49599408, 28241, 21759
3099963, 3049963, 1.19182, 3, 27, 48799408, 50000, 0
3100001, 3150001, 1.24555, 0, 27, 50399568, 29731, 20269
3149973, 3099973, 1.25109, 3, 27, 49599568, 50000, 0
3150001, 3200001, 1.28527, 0, 27, 51199392, 27176, 22824
3199962, 3149962, 1.22909, 3, 27, 50399392, 50000, 0
3200001, 3250001, 1.32139, 0, 27, 51999344, 32032, 17968
3249959, 3199959, 1.26549, 3, 27, 51199344, 50000, 0
3250001, 3300001, 1.32982, 0, 27, 52799488, 30163, 19837
3299968, 3249968, 1.2716, 3, 27, 51999488, 50000, 0
3300001, 3350001, 1.32274, 0, 27, 53599296, 28672, 21328
3349956, 3299956, 1.31041, 3, 27, 52799296, 50000, 0
3350001, 3400001, 1.33712, 0, 27, 54399360, 26742, 23258
3399960, 3349960, 1.31342, 3, 27, 53599360, 50000, 0
3400001, 3450001, 1.34194, 0, 27, 55199376, 32945, 17055
3449961, 3399961, 1.34478, 3, 27, 54399376, 50000, 0
3450001, 3500001, 1.4751, 0, 27, 55999392, 30733, 19267
3499962, 3449962, 1.36478, 3, 27, 55199392, 50000, 0
3500001, 3550001, 1.40223, 0, 27, 56799264, 29825, 20175
3549954, 3499954, 1.37622, 3, 27, 55999264, 50000, 0
3550001, 3600001, 1.42811, 0, 27, 57599504, 32358, 17642
3599969, 3549969, 1.3795, 3, 27, 56799504, 50000, 0
3600001, 3650001, 1.42915, 0, 27, 58399328, 27641, 22359
3649958, 3599958, 1.48729, 3, 27, 57599328, 50000, 0
3650001, 3700001, 1.46994, 0, 27, 59199376, 28203, 21797
3699961, 3649961, 1.46577, 3, 27, 58399376, 50000, 0
3700001, 3750001, 1.49269, 0, 27, 59999056, 28140, 21860
3749941, 3699941, 1.45377, 3, 27, 59199056, 50000, 0
3750001, 3800001, 1.50097, 0, 27, 60799392, 31135, 18865
3799962, 3749962, 1.49227, 3, 27, 59999392, 50000, 0
3800001, 3850001, 1.52161, 0, 27, 61599200, 30524, 19476
3849950, 3799950, 1.49833, 3, 27, 60799200, 50000, 0
3850001, 3900001, 1.5515, 0, 27, 62399424, 29343, 20657
3899964, 3849964, 1.50511, 3, 27, 61599424, 50000, 0
3900001, 3950001, 1.62833, 0, 27, 63199248, 29277, 20723
3949953, 3899953, 1.5779, 3, 27, 62399248, 50000, 0
3950001, 4000001, 1.67608, 0, 27, 63999296, 31822, 18178
3999956, 3949956, 1.66554, 3, 27, 63199296, 50000, 0
4000001, 4050001, 1.77322, 0, 27, 64799312, 34963, 15037
4049957, 3999957, 1.70199, 3, 27, 63999312, 50000, 0
4050001, 4100001, 1.79933, 0, 27, 65599328, 32408, 17592
4099958, 4049958, 1.8323, 3, 27, 64799328, 50000, 0
4100001, 4150001, 1.8096, 0, 27, 66399408, 35698, 14302
4149963, 4099963, 1.71307, 3, 27, 65599408, 50000, 0
4150001, 4200001, 1.70803, 0, 27, 67199040, 33260, 16740
4199940, 4149940, 1.69366, 3, 27, 66399040, 50000, 0
4200001, 4250001, 1.73221, 0, 27, 67999232, 31030, 18970
4249952, 4199952, 1.70476, 3, 27, 67199232, 50000, 0
4250001, 4300001, 1.75424, 0, 27, 68799248, 31165, 18835
4299953, 4249953, 1.77116, 3, 27, 67999248, 50000, 0
4300001, 4350001, 1.7868, 0, 27, 69599136, 30555, 19445
4349946, 4299946, 1.75756, 3, 27, 68799136, 50000, 0
4350001, 4400001, 1.83289, 0, 27, 70399264, 33550, 16450
4399954, 4349954, 1.88249, 3, 27, 69599264, 50000, 0
4400001, 4450001, 1.82519, 0, 27, 71199040, 32879, 17121
4449940, 4399940, 1.85163, 3, 27, 70399040, 50000, 0
4450001, 4500001, 1.83575, 0, 27, 71999184, 31399, 18601
4499949, 4449949, 1.92447, 3, 27, 71199184, 50000, 0
4500001, 4550001, 2.00349, 0, 27, 72798992, 31050, 18950
4549937, 4499937, 1.89931, 3, 27, 71998992, 50000, 0
