lower,upper,duration,action,depth
2324605,2359570,0.016537,2,22
2359570,2394691,0.0167407,2,22
2394691,2429966,0.0166572,2,22
2429966,2465392,0.0166867,2,22
2465392,2500967,0.0168465,2,22
2500967,2536689,0.017038,2,22
2536689,2572555,0.0171192,2,22
2572555,2608563,0.0170816,2,22
2608563,2644710,0.0172052,2,22
2644710,2680995,0.017367,2,22
2680995,2717415,0.01742,2,22
2717415,2753968,0.0174189,2,22
2753968,2790652,0.0174051,2,22
2790652,2827465,0.0175377,2,22
2827465,2864404,0.0171574,2,22
2864404,2901468,0.0172892,2,22
2901468,2938655,0.0173942,2,22
2938655,2975963,0.0175697,2,22
2975963,3013390,0.0177033,2,22
3013390,3050934,0.0176388,2,22
3050934,3088594,0.0178288,2,22
3088594,3126367,0.0177023,2,22
3126367,3164252,0.0180806,2,22
3164252,3202247,0.0181077,2,22
3202247,3240351,0.0181019,2,22
3240351,3278562,0.018159,2,22
3278562,3316878,0.0181266,2,22
3316878,3355298,0.0181937,2,22
3355298,3393820,0.0181414,2,22
3393820,3432442,0.0185209,2,22
3432442,3471164,0.0184051,2,22
3471164,3509983,0.0185429,2,22
3509983,3548898,0.0184989,2,22
3548898,3587908,0.0185134,2,22
3587908,3627012,0.0183504,2,22
3627012,3666208,0.0184911,2,22
3666208,3705494,0.0187788,2,22
3705494,3744870,0.0188324,2,22
3744870,3784334,0.0190044,2,22
3784334,3823885,0.0189813,2,22
3823885,3863522,0.0188426,2,22
3863522,3903243,0.018644,2,22
3903243,3943047,0.0187459,2,22
3943047,3982933,0.0186892,2,22
3982933,4022900,0.0189995,2,22
4022900,4062947,0.0189132,2,22
4062947,4103073,0.0189081,2,22
4103073,4143276,0.0189744,2,22
4143276,4183556,0.0189456,2,22
4183556,4223911,0.019418,2,23
4223911,4264341,0.0196385,2,23
4264341,4304844,0.019474,2,23
4304844,4345420,0.0195216,2,23
4345420,4386067,0.0196448,2,23
4386067,4426785,0.0197386,2,23
4426785,4467573,0.0195316,2,23
4467573,4508429,0.0196442,2,23
4508429,4549353,0.0196242,2,23
4549353,4590344,0.0195558,2,23
4590344,4631401,0.0197539,2,23
4631401,4672523,0.0199825,2,23
4672523,4713710,0.0196646,2,23
4713710,4754960,0.0198591,2,23
4754960,4796273,0.0198375,2,23
4796273,4837648,0.0199235,2,23
4837648,4879084,0.0200457,2,23
4879084,4920580,0.0199701,2,23
4920580,4962136,0.0200412,2,23
4962136,5003751,0.0200653,2,23
