lower,upper,duration,action,depth,size,hit,miss
320001,325001,0.0542917,0,0,5199984,5000,0
325000,320000,0.0563464,3,0,5119984,5000,0
325001,330001,0.0586935,0,0,5279984,5000,0
330000,325000,0.0558525,3,0,5199984,5000,0
330001,335001,0.055765,0,0,5359984,5000,0
335000,330000,0.0570597,3,0,5279984,5000,0
335001,340001,0.0571609,0,0,5439984,5000,0
340000,335000,0.0595666,3,0,5359984,5000,0
340001,345001,0.0593668,0,0,5519968,4999,1
344999,339999,0.060337,3,0,5439968,5000,0
345001,350001,0.0589881,0,0,5599984,5000,0
350000,345000,0.0595036,3,0,5519984,5000,0
350001,355001,0.0603637,0,0,5679984,5000,0
355000,350000,0.0610901,3,0,5599984,5000,0
355001,360001,0.0671502,0,0,5759984,5000,0
360000,355000,0.0636392,3,0,5679984,5000,0
360001,365001,0.0636396,0,0,5839984,5000,0
365000,360000,0.0643292,3,0,5759984,5000,0
365001,370001,0.0688899,0,0,5919968,4999,1
369999,364999,0.0636934,3,0,5839968,5000,0
370001,375001,0.0636303,0,0,5999984,5000,0
375000,370000,0.0640662,3,0,5919984,5000,0
375001,380001,0.0651717,0,0,6079984,5000,0
380000,375000,0.0679357,3,0,5999984,5000,0
380001,385001,0.0680919,0,0,6159968,4999,1
384999,379999,0.0679789,3,0,6079968,5000,0
385001,390001,0.0668741,0,0,6239984,5000,0
390000,385000,0.0677463,3,0,6159984,5000,0
390001,395001,0.0707618,0,0,6319984,5000,0
395000,390000,0.0729424,3,0,6239984,5000,0
395001,400001,0.0691294,0,0,6399984,5000,0
400000,395000,0.0694493,3,0,6319984,5000,0
400001,405001,0.0749816,0,0,6479952,4998,2
404998,399998,0.0702491,3,0,6399952,5000,0
405001,410001,0.0717905,0,0,6559984,5000,0
410000,405000,0.071011,3,0,6479984,5000,0
410001,415001,0.0730473,0,0,6639984,5000,0
415000,410000,0.0753418,3,0,6559984,5000,0
415001,420001,0.0735879,0,0,6719984,5000,0
420000,415000,0.0741387,3,0,6639984,5000,0
420001,425001,0.0730168,0,0,6799968,4999,1
424999,419999,0.0750152,3,0,6719968,5000,0
425001,430001,0.0806045,0,0,6879984,5000,0
430000,425000,0.0756156,3,0,6799984,5000,0
430001,435001,0.0756651,0,0,6959968,4999,1
434999,429999,0.0812704,3,0,6879968,5000,0
435001,440001,0.0767497,0,0,7039968,4999,1
439999,434999,0.077097,3,0,6959968,5000,0
440001,445001,0.0775751,0,0,7119984,5000,0
445000,440000,0.0795719,3,0,7039984,5000,0
445001,450001,0.0792459,0,0,7199968,4999,1
449999,444999,0.079028,3,0,7119968,5000,0
450001,455001,0.0796952,0,0,7279984,5000,0
455000,450000,0.0796297,3,0,7199984,5000,0
455001,460001,0.0841562,0,0,7359984,5000,0
460000,455000,0.0833698,3,0,7279984,5000,0
460001,465001,0.0817349,0,0,7439984,5000,0
465000,460000,0.086481,3,0,7359984,5000,0
465001,470001,0.0834474,0,0,7519984,5000,0
470000,465000,0.0829675,3,0,7439984,5000,0
470001,475001,0.0832575,0,0,7599984,5000,0
475000,470000,0.08517,3,0,7519984,5000,0
475001,480001,0.084766,0,0,7679952,4998,2
479998,474998,0.084541,3,0,7599952,5000,0
480001,485001,0.0860261,0,0,7759968,4999,1
484999,479999,0.0866106,3,0,7679968,5000,0
485001,490001,0.0952944,0,0,7839984,5000,0
490000,485000,0.0879646,3,0,7759984,5000,0
490001,495001,0.091176,0,0,7919968,4999,1
494999,489999,0.0892673,3,0,7839968,5000,0
495001,500001,0.0879232,0,0,7999968,4999,1
499999,494999,0.0893498,3,0,7919968,5000,0
5000,5000,0.00052,2,0,79984,0,5000
5000,5000,0.0004155,1,0,79984,0,5000
10000,10000,0.00093,2,0,159984,0,5000
10000,10000,0.0007043,1,0,159984,0,5000
15000,15000,0.0013746,2,0,239984,0,5000
15000,15000,0.0012861,1,0,239984,0,5000
20000,20000,0.0016007,2,0,319984,0,5000
20000,20000,0.0014846,1,0,319984,0,5000
25000,25000,0.0020973,2,0,399984,0,5000
25000,25000,0.0017584,1,0,399984,0,5000
30000,30000,0.0024073,2,0,479984,0,5000
30000,30000,0.0021213,1,0,479984,0,5000
35000,35000,0.0029216,2,0,559984,0,5000
35000,35000,0.0026612,1,0,559984,0,5000
40000,40000,0.0030332,2,0,639984,0,5000
40000,40000,0.0031622,1,0,639984,2,4998
45000,45000,0.0036524,2,0,719984,0,5000
45000,45000,0.0035263,1,0,719984,0,5000
50000,50000,0.0041611,2,0,799984,0,5000
50000,50000,0.0033851,1,0,799984,0,5000
55000,55000,0.0038803,2,0,879984,0,5000
55000,55000,0.0039062,1,0,879984,1,4999
60000,60000,0.0049648,2,0,959984,0,5000
60000,60000,0.0051591,1,0,959984,0,5000
65000,64998,0.0053432,2,0,1039952,2,4998
65000,65000,0.0053216,1,0,1039984,0,5000
70000,70000,0.0060379,2,0,1119984,0,5000
70000,70000,0.0058918,1,0,1119984,0,5000
75000,75000,0.0061659,2,0,1199984,0,5000
75000,75000,0.0060856,1,0,1199984,0,5000
80000,80000,0.0068187,2,0,1279984,0,5000
80000,80000,0.0067246,1,0,1279984,0,5000
85000,85000,0.0075734,2,0,1359984,0,5000
85000,85000,0.0074274,1,0,1359984,0,5000
90000,90000,0.007992,2,0,1439984,0,5000
90000,90000,0.0081969,1,0,1439984,0,5000
95000,95000,0.0108557,2,0,1519984,0,5000
95000,95000,0.0102643,1,0,1519984,0,5000
100000,100000,0.0088166,2,0,1599984,0,5000
100000,100000,0.0098385,1,0,1599984,0,5000
105000,105000,0.0100177,2,0,1679984,0,5000
105000,105000,0.0109939,1,0,1679984,1,4999
110000,110000,0.0112044,2,0,1759984,0,5000
110000,110000,0.011943,1,0,1759984,0,5000
115000,115000,0.0118826,2,0,1839984,0,5000
