lower,upper,duration,action,depth,size,hit,miss
320000,315000,0.053292,3,22,10080000,5000,0
320001,325001,0.0515098,0,22,10400000,4375,625
325000,320000,0.0538146,3,22,10240000,5000,0
325001,330001,0.0568355,0,22,10560000,2500,2500
330000,325000,0.056336,3,22,10400000,5000,0
330001,335001,0.0539031,0,23,10720000,4999,1
335000,330000,0.0564699,3,23,10560000,5000,0
335001,340001,0.0551601,0,23,10880000,4351,649
340000,335000,0.0581013,3,23,10720000,5000,0
340001,345001,0.0612859,0,23,11039968,1774,3226
344999,339999,0.0638215,3,23,10879968,5000,0
345001,350001,0.0580792,0,23,11200000,4966,34
350000,345000,0.0594209,3,23,11040000,5000,0
350001,355001,0.0614436,0,23,11360000,4092,908
355000,350000,0.0626147,3,23,11200000,5000,0
355001,360001,0.0603586,0,23,11520000,2525,2475
360000,355000,0.0627363,3,23,11360000,5000,0
360001,365001,0.0621358,0,23,11680000,0,5000
365000,360000,0.0660101,3,23,11520000,5000,0
365001,370001,0.0648576,0,23,11839968,3696,1304
369999,364999,0.0649708,3,23,11679968,5000,0
370001,375001,0.0636571,0,23,12000000,4997,3
375000,370000,0.0653203,3,23,11840000,5000,0
375001,380001,0.0653627,0,23,12160000,0,5000
380000,375000,0.0663777,3,23,12000000,5000,0
380001,385001,0.0720744,0,23,12319968,1038,3962
384999,379999,0.0681922,3,23,12159968,5000,0
385001,390001,0.068995,0,23,12480000,4999,1
390000,385000,0.0720336,3,23,12320000,5000,0
390001,395001,0.0682053,0,23,12640000,5000,0
395000,390000,0.0693842,3,23,12480000,5000,0
395001,400001,0.0690306,0,23,12800000,4903,97
400000,395000,0.070832,3,23,12640000,5000,0
400001,405001,0.0779209,0,23,12959936,1299,3701
404998,399998,0.0729315,3,23,12799936,5000,0
405001,410001,0.0737954,0,23,13120000,4084,916
410000,405000,0.0728287,3,23,12960000,5000,0
410001,415001,0.0724286,0,23,13280000,0,5000
415000,410000,0.0790564,3,23,13120000,5000,0
415001,420001,0.0763979,0,23,13440000,3333,1667
420000,415000,0.0754871,3,23,13280000,5000,0
420001,425001,0.0780225,0,23,13599968,2290,2710
424999,419999,0.0762122,3,23,13439968,5000,0
425001,430001,0.0760284,0,23,13760000,4375,625
430000,425000,0.0763416,3,23,13600000,5000,0
430001,435001,0.076734,0,23,13919968,3276,1724
434999,429999,0.0794698,3,23,13759968,5000,0
435001,440001,0.0787537,0,23,14079968,4998,2
439999,434999,0.0787295,3,23,13919968,5000,0
440001,445001,0.0796236,0,23,14240000,1667,3333
445000,440000,0.0828844,3,23,14080000,5000,0
445001,450001,0.0852698,0,23,14399968,2801,2199
449999,444999,0.0809289,3,23,14239968,5000,0
450001,455001,0.0824069,0,23,14560000,4374,626
455000,450000,0.0822395,3,23,14400000,5000,0
455001,460001,0.0822635,0,23,14720000,0,5000
460000,455000,0.0830301,3,23,14560000,5000,0
460001,465001,0.0839355,0,23,14880000,4975,25
465000,460000,0.0840206,3,23,14720000,5000,0
465001,470001,0.0842992,0,23,15040000,1,4999
470000,465000,0.0856272,3,23,14880000,5000,0
470001,475001,0.0853762,0,23,15200000,5000,0
475000,470000,0.0920569,3,23,15040000,5000,0
475001,480001,0.0872892,0,23,15359936,1962,3038
479998,474998,0.089889,3,23,15199936,5000,0
480001,485001,0.0909939,0,23,15519968,4076,924
484999,479999,0.0896382,3,23,15359968,5000,0
485001,490001,0.0876914,0,23,15680000,4372,628
490000,485000,0.0906401,3,23,15520000,5000,0
490001,495001,0.0892763,0,23,15839968,4997,3
494999,489999,0.0901651,3,23,15679968,5000,0
495001,500001,0.0908666,0,23,15999968,1648,3352
499999,494999,0.0921819,3,23,15839968,5000,0
5000,5000,0.0004219,2,15,160000,0,5000
5000,5000,0.0003521,1,15,160000,0,5000
10000,10000,0.0007096,2,16,320000,0,5000
10000,10000,0.000653,1,16,320000,0,5000
15000,15000,0.0009948,2,17,480000,0,5000
15000,15000,0.0009063,1,17,480000,0,5000
20000,20000,0.0012891,2,17,640000,0,5000
20000,20000,0.0012396,1,17,640000,0,5000
25000,25000,0.0015979,2,18,800000,0,5000
25000,25000,0.0015345,1,18,800000,0,5000
30000,30000,0.0019453,2,18,960000,0,5000
30000,30000,0.001856,1,18,960000,0,5000
35000,35000,0.0026842,2,19,1120000,0,5000
35000,35000,0.0032019,1,19,1120000,0,5000
40000,40000,0.0038865,2,19,1280000,0,5000
40000,40000,0.0038947,1,19,1280000,2,4998
45000,45000,0.0042747,2,19,1440000,0,5000
45000,45000,0.0043055,1,19,1440000,0,5000
50000,50000,0.0034108,2,19,1600000,0,5000
50000,50000,0.0049578,1,19,1600000,0,5000
55000,55000,0.0035141,2,19,1760000,0,5000
55000,55000,0.0034232,1,19,1760000,1,4999
60000,60000,0.0037392,2,20,1920000,0,5000
60000,60000,0.0036503,1,20,1920000,0,5000
65000,64998,0.0040251,2,20,2079936,2,4998
65000,65000,0.0039883,1,20,2080000,0,5000
70000,70000,0.004315,2,20,2240000,0,5000
70000,70000,0.0042981,1,20,2240000,0,5000
75000,75000,0.0045457,2,20,2400000,0,5000
75000,75000,0.0045869,1,20,2400000,0,5000
80000,80000,0.0049445,2,20,2560000,0,5000
80000,80000,0.004873,1,20,2560000,0,5000
85000,85000,0.0053492,2,20,2720000,0,5000
