lower,upper,duration,action,depth
19023,20004,0.0002058,1,15
20004,21032,0.0001358,1,15
21032,22109,0.0002429,1,15
22109,23238,0.0001478,1,15
23238,24421,0.0002339,1,15
24421,25660,0.0001643,1,15
25660,26958,0.0002664,1,15
26958,28317,0.0002471,1,15
28317,29741,0.0001901,1,15
29741,31232,0.0002789,1,15
31232,32793,0.0002998,1,16
32793,34427,0.0002237,1,16
34427,36137,0.0003121,1,16
36137,37927,0.0003518,1,16
37927,39800,0.0003347,1,16
39800,41760,0.0003617,1,16
41760,43810,0.0003417,1,16
43810,45954,0.0003481,1,16
45954,48196,0.0003673,1,16
48196,50540,0.0003812,1,16
50540,52990,0.0003948,1,16
52990,55551,0.0004109,1,16
55551,58227,0.000493,1,16
58227,61022,0.0004326,1,16
61022,63941,0.0004344,1,16
63941,66990,0.0004992,1,17
66990,70173,0.0004744,1,17
70173,73495,0.0005395,1,17
73495,76961,0.0005859,1,17
76961,80577,0.0005449,1,17
80577,84348,0.0006044,1,17
84348,88279,0.000614,1,17
88279,92377,0.000729,1,17
92377,96647,0.0006944,1,17
96647,101095,0.0007002,1,17
101095,105726,0.000725,1,17
105726,110547,0.0007858,1,17
110547,115564,0.0007705,1,17
115564,120783,0.0008073,1,17
120783,126211,0.0008587,1,17
126211,131853,0.0009082,1,18
131853,137716,0.0009058,1,18
137716,143806,0.0009728,1,18
143806,150130,0.001047,1,18
150130,156694,0.0011031,1,18
156694,163504,0.0012103,1,18
163504,170567,0.0011107,1,18
170567,177889,0.0011767,1,18
177889,185476,0.0012375,1,18
185476,193334,0.0013006,1,18
193334,201469,0.001391,1,18
201469,209887,0.0013873,1,18
209887,218594,0.0014408,1,18
218594,227596,0.0014522,1,18
227596,236899,0.0015451,1,18
236899,246507,0.001524,1,18
246507,256427,0.0016216,1,18
256427,266663,0.0016488,1,19
266663,277220,0.001736,1,19
277220,288103,0.001796,1,19
288103,299316,0.0018494,1,19
299316,310863,0.0019358,1,19
310863,322749,0.0018414,1,19
322749,334977,0.0019288,1,19
334977,347551,0.0019482,1,19
347551,360474,0.0020699,1,19
360474,373749,0.0021666,1,19
373749,387378,0.0021856,1,19
387378,401364,0.0022584,1,19
401364,415709,0.0022808,1,19
415709,430415,0.0022626,1,19
430415,445484,0.0023483,1,19
445484,460917,0.0024605,1,19
460917,476715,0.002515,1,19
476715,492878,0.0026043,1,19
492878,509408,0.002704,1,19
509408,526304,0.0026881,1,20
526304,543566,0.0027158,1,20
543566,561194,0.0028707,1,20
561194,579187,0.0029247,1,20
579187,597545,0.0030078,1,20
597545,616266,0.0030388,1,20
616266,635349,0.0030318,1,20
635349,654793,0.0031093,1,20
654793,674595,0.0032059,1,20
674595,694754,0.0032652,1,20
694754,715268,0.0033838,1,20
715268,736135,0.0032636,1,20
736135,757351,0.0034049,1,20
757351,778915,0.003489,1,20
778915,800823,0.0036115,1,20
800823,823073,0.0035152,1,20
823073,845661,0.0035286,1,20
845661,868585,0.003726,1,20
868585,891841,0.0038344,1,20
891841,915425,0.0037963,1,20
915425,939334,0.0037624,1,20
939334,963565,0.0039267,1,20
963565,988114,0.0039954,1,20
988114,1012977,0.0046776,1,20
1012977,1038150,0.0055573,1,20
1038150,1063629,0.0052263,1,21
1063629,1089411,0.0050336,1,21
1089411,1115492,0.00418,1,21
1115492,1141868,0.0043074,1,21
1141868,1168534,0.0045118,1,21
1168534,1195487,0.0043273,1,21
1195487,1222723,0.0043301,1,21
1222723,1250238,0.0045673,1,21
1250238,1278027,0.0045571,1,21
1278027,1306087,0.004434,1,21
1306087,1334414,0.0046086,1,21
1334414,1363004,0.0046601,1,21
1363004,1391853,0.004604,1,21
1391853,1420957,0.0046319,1,21
1420957,1450312,0.0048392,1,21
1450312,1479914,0.0047514,1,21
1479914,1509760,0.004744,1,21
1509760,1539845,0.0049245,1,21
1539845,1570166,0.004952,1,21
1570166,1600719,0.0048178,1,21
1600719,1631500,0.0050453,1,21
1631500,1662506,0.0059333,1,21
1662506,1693733,0.0049919,1,21
1693733,1725178,0.005257,1,21
1725178,1756837,0.0052445,1,21
1756837,1788706,0.0051329,1,21
1788706,1820782,0.0052314,1,21
1820782,1853062,0.0052841,1,21
1853062,1885543,0.0052405,1,21
1885543,1918221,0.0053319,1,21
1918221,1951093,0.0054123,1,21
1951093,1984155,0.0054318,1,21
1984155,2017405,0.005411,1,21
2017405,2050839,0.0054408,1,21
2050839,2084455,0.0054963,1,21
2084455,2118249,0.0055021,1,22
2118249,2152219,0.0055978,1,22
2152219,2186362,0.0056992,1,22
2186362,2220675,0.0057374,1,22
2220675,2255155,0.0057442,1,22
2255155,2289799,0.0057962,1,22
2289799,2324605,0.0059386,1,22
2324605,2359570,0.0058817,1,22
2359570,2394691,0.0057872,1,22
2394691,2429966,0.0059059,1,22
2429966,2465392,0.0059035,1,22
2465392,2500967,0.0060909,1,22
2500967,2536689,0.0059353,1,22
2536689,2572555,0.0060089,1,22
2572555,2608563,0.0059646,1,22
2608563,2644710,0.0059726,1,22
2644710,2680995,0.0060924,1,22
2680995,2717415,0.0060678,1,22
2717415,2753968,0.0061088,1,22
2753968,2790652,0.006166,1,22
2790652,2827465,0.0062156,1,22
2827465,2864404,0.0061817,1,22
2864404,2901468,0.0061828,1,22
2901468,2938655,0.0061546,1,22
2938655,2975963,0.0061702,1,22
2975963,3013390,0.0060726,1,22
3013390,3050934,0.0062411,1,22
3050934,3088594,0.0062843,1,22
3088594,3126367,0.0062952,1,22
3126367,3164252,0.0065577,1,22
3164252,3202247,0.0066533,1,22
3202247,3240351,0.006628,1,22
3240351,3278562,0.0064862,1,22
3278562,3316878,0.0065973,1,22
3316878,3355298,0.0063715,1,22
3355298,3393820,0.0063217,1,22
3393820,3432442,0.0064716,1,22
3432442,3471164,0.0062632,1,22
3471164,3509983,0.0064792,1,22
3509983,3548898,0.0064141,1,22
3548898,3587908,0.0064394,1,22
3587908,3627012,0.0065714,1,22
3627012,3666208,0.0065619,1,22
3666208,3705494,0.0068389,1,22
3705494,3744870,0.0066823,1,22
3744870,3784334,0.0067846,1,22
3784334,3823885,0.0067247,1,22
3823885,3863522,0.0065041,1,22
3863522,3903243,0.0067144,1,22
3903243,3943047,0.0067121,1,22
3943047,3982933,0.0069175,1,22
3982933,4022900,0.0069177,1,22
4022900,4062947,0.0068839,1,22
4062947,4103073,0.0066068,1,22
4103073,4143276,0.0068134,1,22
4143276,4183556,0.0068249,1,22
4183556,4223911,0.0071186,1,23
4223911,4264341,0.0073873,1,23
4264341,4304844,0.0073702,1,23
4304844,4345420,0.0074666,1,23
4345420,4386067,0.0075106,1,23
4386067,4426785,0.0069888,1,23
4426785,4467573,0.007151,1,23
4467573,4508429,0.0070416,1,23
4508429,4549353,0.0070411,1,23
4549353,4590344,0.007221,1,23
4590344,4631401,0.0069945,1,23
4631401,4672523,0.0071119,1,23
4672523,4713710,0.0070042,1,23
4713710,4754960,0.0071704,1,23
4754960,4796273,0.0071487,1,23
4796273,4837648,0.0070595,1,23
4837648,4879084,0.0074592,1,23
4879084,4920580,0.0071931,1,23
4920580,4962136,0.0072316,1,23
4962136,5003751,0.0072696,1,23
0,49,4.4e-06,2,6
49,101,5e-06,2,7
101,155,4.7e-06,2,8
155,212,4.9e-06,2,8
212,272,5.1e-06,2,9
272,335,6.3e-06,2,9
335,401,6.4e-06,2,9
401,470,6.6e-06,2,9
470,543,7.3e-06,2,10
543,620,8.3e-06,2,10
620,700,8.21e-05,2,10
700,784,8.6e-06,2,10
784,873,9.2e-06,2,10
873,966,9.6e-06,2,10
966,1064,1.02e-05,2,11
1064,1166,1.17e-05,2,11
1166,1274,1.16e-05,2,11
1274,1387,1.26e-05,2,11
1387,1506,1.29e-05,2,11
1506,1630,1.44e-05,2,11
1630,1761,1.36e-05,2,11
1761,1898,1.51e-05,2,11
1898,2042,1.59e-05,2,11
2042,2193,1.72e-05,2,12
2193,2352,1.75e-05,2,12
2352,2519,1.91e-05,2,12
2519,2694,2.03e-05,2,12
2694,2878,8.66e-05,2,12
2878,3071,2.18e-05,2,12
3071,3273,2.34e-05,2,12
3273,3485,2.39e-05,2,12
3485,3708,2.57e-05,2,12
3708,3942,2.68e-05,2,12
3942,4187,2.76e-05,2,13
4187,4445,3.04e-05,2,13
4445,4715,3.14e-05,2,13
4715,4999,9.95e-05,2,13
4999,5297,3.82e-05,2,13
5297,5609,3.68e-05,2,13
5609,5937,3.86e-05,2,13
5937,6281,4.07e-05,2,13
6281,6642,4.38e-05,2,13
6642,7021,9.41e-05,2,13
7021,7418,4.66e-05,2,13
7418,7835,4.85e-05,2,13
7835,8272,5.04e-05,2,14
8272,8731,5.49e-05,2,14
8731,9212,0.0001197,2,14
9212,9717,6.26e-05,2,14
9717,10247,6.1e-05,2,14
10247,10803,6.53e-05,2,14
10803,11386,0.0001158,2,14
11386,11997,7.01e-05,2,14
11997,12638,7.83e-05,2,14
12638,13310,7.74e-05,2,14
13310,14015,0.0001466,2,14
14015,14754,8.63e-05,2,14
14754,15529,0.000137,2,14
15529,16342,9.66e-05,2,14
16342,17194,0.0001099,2,15
17194,18087,0.0001534,2,15
18087,19023,0.0001158,2,15
19023,20004,0.0001602,2,15
20004,21032,0.0001272,2,15
