lower,upper,duration,action,depth,size,hit,miss
2699973,2649973,0.595733,3,26,84799136,50000,0
2700001,2750001,0.58771,0,26,87998944,30410,19590
2749967,2699967,0.576952,3,26,86398944,50000,0
2750001,2800001,0.591425,0,26,89599200,28275,21725
2799975,2749975,0.589214,3,26,87999200,50000,0
2800001,2850001,0.609038,0,26,91198944,27019,22981
2849967,2799967,0.600897,3,26,89598944,50000,0
2850001,2900001,0.61939,0,26,92799072,30400,19600
2899971,2849971,0.647795,3,26,91199072,50000,0
2900001,2950001,0.678234,0,27,94398592,27533,22467
2949956,2899956,0.630485,3,27,92798592,50000,0
2950001,3000001,0.645538,0,27,95998816,33753,16247
2999963,2949963,0.631142,3,27,94398816,50000,0
3000001,3050001,0.652034,0,27,97598656,29367,20633
3049958,2999958,0.671471,3,27,95998656,50000,0
3050001,3100001,0.67592,0,27,99198816,29345,20655
3099963,3049963,0.660072,3,27,97598816,50000,0
3100001,3150001,0.683415,0,27,100799136,27655,22345
3149973,3099973,0.690198,3,27,99199136,50000,0
3150001,3200001,0.704591,0,27,102398784,25433,24567
3199962,3149962,0.702276,3,27,100798784,50000,0
3200001,3250001,0.720498,0,27,103998688,31442,18558
3249959,3199959,0.701388,3,27,102398688,50000,0
3250001,3300001,0.717928,0,27,105598976,31365,18635
3299968,3249968,0.705041,3,27,103998976,50000,0
3300001,3350001,0.725615,0,27,107198592,25783,24217
3349956,3299956,0.767631,3,27,105598592,50000,0
3350001,3400001,0.754068,0,27,108798720,34900,15100
3399960,3349960,0.740425,3,27,107198720,50000,0
3400001,3450001,0.75857,0,27,110398752,24445,25555
3449961,3399961,0.74711,3,27,108798752,50000,0
3450001,3500001,0.763706,0,27,111998784,33208,16792
3499962,3449962,0.75238,3,27,110398784,50000,0
3500001,3550001,0.775482,0,27,113598528,27822,22178
3549954,3499954,0.770953,3,27,111998528,50000,0
3550001,3600001,0.786588,0,27,115199008,30205,19795
3599969,3549969,0.79936,3,27,113599008,50000,0
3600001,3650001,0.84612,0,27,116798656,30926,19074
3649958,3599958,0.796546,3,27,115198656,50000,0
3650001,3700001,0.811554,0,27,118398752,24621,25379
3699961,3649961,0.800723,3,27,116798752,50000,0
3700001,3750001,0.822523,0,27,119998112,29252,20748
3749941,3699941,0.825791,3,27,118398112,50000,0
